Zeitpunkt (t);Garten_Cam_03_FPS_geglaettet;Garten_Cam_03_FPS_Min;Garten_Cam_03_FPS_Max;Garten_Cam_03_Standardabweichung;Garten_Cam_03_Latenz;Garten_Cam_01_FPS_geglaettet;Garten_Cam_01_FPS_Min;Garten_Cam_01_FPS_Max;Garten_Cam_01_Standardabweichung;Garten_Cam_01_Latenz;Garten_Cam_02_FPS_geglaettet;Garten_Cam_02_FPS_Min;Garten_Cam_02_FPS_Max;Garten_Cam_02_Standardabweichung;Garten_Cam_02_Latenz
t = 0;21,3;16,7;24,9;2,16;5ms;21,9;15,7;28,2;3,10;4ms;19,7;14,1;26,2;2,94;5ms
t = 5;21,4;16,0;26,7;2,95;5ms;20,7;14,5;34,3;4,10;4ms;19,1;13,3;23,2;2,29;5ms
t = 10;20,8;16,7;26,7;2,81;5ms;21,5;15,0;31,5;3,87;4ms;18,8;13,7;25,5;3,06;5ms
t = 15;22,3;14,4;28,7;3,39;5ms;21,6;14,1;31,8;4,68;4ms;18,5;12,1;22,8;2,84;5ms
t = 20;23,4;15,5;27,5;3,20;5ms;22,4;14,8;29,1;3,73;4ms;18,3;12,3;24,1;2,92;5ms
t = 25;21,9;16,3;26,7;2,77;5ms;23,0;14,4;33,7;4,08;4ms;19,0;12,0;25,4;3,05;5ms
t = 30;21,0;15,5;28,4;3,05;5ms;21,9;14,7;28,4;3,12;4ms;19,5;12,2;23,9;2,98;5ms
t = 35;22,2;14,9;29,7;3,50;5ms;21,9;13,3;32,4;4,08;4ms;19,0;12,8;25,4;2,86;5ms
t = 40;20,8;14,9;29,4;3,39;5ms;20,9;14,8;30,2;3,42;4ms;18,4;12,2;24,9;3,19;5ms
t = 45;21,7;15,1;33,3;3,93;5ms;20,5;15,5;26,7;2,75;4ms;19,2;12,0;25,1;3,50;5ms
