timestamp,phase,response_time_ms,http_status,cameras_online,cam_01_fps,cam_01_latency,cam_02_fps,cam_02_latency,cam_03_fps,cam_03_latency,avg_fps,avg_latency,success
2026-02-22T11:47:20.823670,baseline,17.23,200,3,21.5,2.94,20.96,7.99,20.4,5.77,20.95,5.57,True
2026-02-22T11:47:21.841917,baseline,27.55,200,3,20.96,2.94,20.73,8.2,20.24,5.77,20.64,5.64,True
2026-02-22T11:47:22.873252,baseline,15.4,200,3,21.31,2.94,21.14,8.2,20.54,5.77,21.0,5.64,True
2026-02-22T11:47:23.894228,baseline,23.08,200,3,21.42,2.94,20.11,7.99,20.25,5.77,20.59,5.57,True
2026-02-22T11:47:24.921952,baseline,36.21,200,3,20.85,2.94,20.31,7.99,20.79,5.77,20.65,5.57,True
2026-02-22T11:47:25.963311,baseline,37.61,200,3,22.01,2.94,20.92,6.93,20.63,5.77,21.19,5.21,True
2026-02-22T11:47:27.006570,baseline,50.35,200,3,23.35,2.94,20.3,7.26,20.73,5.77,21.46,5.32,True
2026-02-22T11:47:28.062039,baseline,28.07,200,3,22.94,3.0,20.19,6.93,20.73,5.77,21.29,5.23,True
2026-02-22T11:47:29.092096,baseline,35.2,200,3,22.4,3.0,21.09,6.81,20.66,5.77,21.38,5.19,True
2026-02-22T11:47:30.128575,baseline,17.27,200,3,22.78,3.0,19.93,6.09,20.63,5.77,21.11,4.95,True
2026-02-22T11:47:31.147622,baseline,84.42,200,3,21.71,3.0,20.58,5.54,20.63,5.77,20.97,4.77,True
2026-02-22T11:47:32.238205,baseline,26.27,200,3,22.11,3.0,20.99,5.54,20.62,5.77,21.24,4.77,True
2026-02-22T11:47:33.270085,baseline,13.38,200,3,21.23,3.0,20.78,5.54,20.42,5.77,20.81,4.77,True
2026-02-22T11:47:34.288987,baseline,24.43,200,3,20.64,3.0,20.8,5.56,20.36,5.77,20.6,4.78,True
2026-02-22T11:47:35.318878,baseline,22.56,200,3,22.15,3.0,21.06,5.56,20.41,5.77,21.2,4.78,True
2026-02-22T11:47:36.347361,baseline,19.86,200,3,23.07,2.94,21.28,5.12,20.41,5.77,21.59,4.61,True
2026-02-22T11:47:37.372908,baseline,18.08,200,3,21.68,2.94,20.58,5.12,20.45,5.77,20.9,4.61,True
2026-02-22T11:47:38.395829,baseline,35.95,200,3,21.36,2.94,20.43,5.12,20.41,5.77,20.73,4.61,True
2026-02-22T11:47:39.435840,baseline,26.08,200,3,21.45,2.94,20.46,5.12,21.08,5.77,21.0,4.61,True
2026-02-22T11:47:40.467381,baseline,18.56,200,3,23.13,2.94,20.49,5.48,20.57,5.77,21.4,4.73,True
2026-02-22T11:47:41.491402,baseline,19.39,200,3,22.0,2.94,20.32,5.48,20.61,5.77,20.98,4.73,True
2026-02-22T11:47:42.515921,baseline,22.6,200,3,22.08,2.94,20.1,5.66,20.74,5.77,20.97,4.79,True
2026-02-22T11:47:43.544056,baseline,24.11,200,3,21.39,2.94,20.35,5.27,20.3,5.77,20.68,4.66,True
2026-02-22T11:47:44.572484,baseline,112.42,200,3,21.54,2.94,21.39,5.9,20.56,5.77,21.16,4.87,True
2026-02-22T11:47:45.689463,baseline,38.06,200,3,21.49,2.94,20.83,5.47,20.6,5.77,20.97,4.73,True
2026-02-22T11:47:46.729335,baseline,49.5,200,3,21.76,2.94,20.93,5.32,20.29,5.77,20.99,4.68,True
2026-02-22T11:47:47.784205,baseline,18.6,200,3,22.46,2.8,19.42,6.07,20.26,5.77,20.71,4.88,True
2026-02-22T11:47:48.806082,baseline,30.52,200,3,22.34,2.8,21.0,6.68,20.33,5.77,21.23,5.09,True
2026-02-22T11:47:49.842187,baseline,20.34,200,3,22.01,2.8,20.96,5.77,20.58,5.77,21.18,4.78,True
2026-02-22T11:47:53.749989,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-22T11:47:54.880651,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-22T11:47:56.007006,attack,0,-1,0,0,0,0,0,0,0,0,0,False
