;t = 0;t = 5;t = 10;t = 15;t = 20;t = 25;t = 30;t = 35;t = 40;t = 45

Garten_Cam_01
FPS (geglättet);26,0;22,5;23,1;23,6;24,2;24,6;24,1;23,2;22,0;24,1
FPS Min;13,6;13,4;11,6;13,7;11,1;12,4;13,0;12,6;13,1;12,9
FPS Max;35,3;35,0;37,7;34,9;32,8;35,5;33,5;31,1;37,6;33,7
Standardabweichung;5,68;5,78;6,16;5,60;5,38;5,91;5,67;4,91;5,80;5,05
Latenz;11ms;11ms;11ms;11ms;11ms;11ms;11ms;10ms;10ms;10ms

Garten_Cam_02
FPS (geglättet);16,9;16,0;15,2;18,3;14,9;16,4;16,0;15,2;16,0;16,3
FPS Min;10,4;9,0;9,5;10,8;8,7;8,5;10,4;10,0;10,8;10,0
FPS Max;23,8;21,6;22,0;23,6;22,8;23,3;24,6;26,9;23,5;22,4
Standardabweichung;3,52;3,73;3,59;3,45;4,51;4,00;3,34;4,18;3,58;3,45
Latenz;20ms;16ms;16ms;15ms;17ms;20ms;19ms;12ms;12ms;12ms

Garten_Cam_03
FPS (geglättet);24,4;29,6;27,8;22,4;23,2;22,8;26,4;23,6;22,7;24,4
FPS Min;13,8;11,5;11,5;14,2;12,9;12,1;13,5;13,1;14,1;14,5
FPS Max;31,5;39,8;35,0;32,2;32,8;46,1;32,2;37,8;34,9;31,4
Standardabweichung;4,23;6,72;5,93;4,36;5,46;7,42;4,34;5,19;5,21;4,23
Latenz;6ms;6ms;6ms;6ms;6ms;8ms;8ms;8ms;8ms;8ms
