timestamp,phase,response_time_ms,http_status,cameras_online,cam_01_fps,cam_01_latency,cam_02_fps,cam_02_latency,cam_03_fps,cam_03_latency,avg_fps,avg_latency,success
2026-02-04T15:16:34.368070,baseline,57.43,200,3,22.34,20.38,15.41,16.89,23.2,20.19,20.32,19.15,True
2026-02-04T15:16:35.429966,baseline,1042.17,200,3,21.12,20.38,15.07,16.89,21.41,20.19,19.2,19.15,True
2026-02-04T15:16:37.473881,baseline,1030.09,200,3,21.18,20.38,15.47,16.89,22.61,20.19,19.75,19.15,True
2026-02-04T15:16:39.506041,baseline,39.74,200,3,20.75,20.38,16.48,16.89,23.35,20.19,20.19,19.15,True
2026-02-04T15:16:40.551280,baseline,1030.13,200,3,22.09,20.38,15.8,16.89,22.32,20.19,20.07,19.15,True
2026-02-04T15:16:42.585429,baseline,49.16,200,3,20.09,20.38,16.27,16.28,27.19,20.19,21.18,18.95,True
2026-02-04T15:16:43.640205,baseline,41.66,200,3,19.38,20.38,15.65,16.89,26.53,20.19,20.52,19.15,True
2026-02-04T15:16:44.687465,baseline,31.73,200,3,21.1,20.38,14.1,17.03,25.17,20.19,20.12,19.2,True
2026-02-04T15:16:45.721690,baseline,34.62,200,3,19.83,20.38,14.34,16.25,21.81,20.19,18.66,18.94,True
2026-02-04T15:16:46.761100,baseline,50.49,200,3,22.48,20.38,13.4,16.25,21.88,20.19,19.25,18.94,True
2026-02-04T15:16:47.813760,baseline,31.05,200,3,22.36,20.38,13.11,16.25,22.77,20.19,19.41,18.94,True
2026-02-04T15:16:48.850356,baseline,39.83,200,3,21.45,20.38,13.23,16.25,22.31,20.19,19.0,18.94,True
2026-02-04T15:16:49.895380,baseline,24.1,200,3,19.94,20.38,14.38,15.68,25.15,20.19,19.82,18.75,True
2026-02-04T15:16:50.924199,baseline,43.45,200,3,21.38,20.38,13.27,15.89,24.9,20.19,19.85,18.82,True
2026-02-04T15:16:51.970449,baseline,31.19,200,3,20.7,20.38,14.31,15.89,25.33,20.19,20.11,18.82,True
2026-02-04T15:16:53.003194,baseline,31.9,200,3,21.44,20.38,13.97,16.89,24.53,20.19,19.98,19.15,True
2026-02-04T15:16:54.038570,baseline,20.04,200,3,21.08,20.38,14.03,17.03,23.94,20.19,19.68,19.2,True
2026-02-04T15:16:55.061893,baseline,19.95,200,3,20.03,20.38,13.57,16.25,24.37,20.19,19.32,18.94,True
2026-02-04T15:16:56.085225,baseline,43.63,200,3,23.45,20.38,12.82,16.25,28.19,20.19,21.49,18.94,True
2026-02-04T15:16:57.134421,baseline,70.44,200,3,22.28,20.38,12.94,17.03,27.85,20.19,21.02,19.2,True
2026-02-04T15:16:58.205630,baseline,34.16,200,3,20.27,20.38,11.75,16.89,26.32,20.19,19.45,19.15,True
2026-02-04T15:16:59.244706,baseline,56.81,200,3,20.39,20.38,12.74,17.03,24.32,20.19,19.15,19.2,True
2026-02-04T15:17:00.305578,baseline,34.11,200,3,20.37,20.38,13.6,17.3,23.25,20.19,19.07,19.29,True
2026-02-04T15:17:01.344627,baseline,65.58,200,3,18.98,20.38,12.3,18.01,20.01,20.19,17.1,19.53,True
2026-02-04T15:17:02.415832,baseline,19.89,200,3,19.04,20.38,11.81,18.95,23.98,20.19,18.28,19.84,True
2026-02-04T15:17:03.441507,baseline,72.9,200,3,19.1,20.38,11.88,18.95,22.23,20.19,17.74,19.84,True
2026-02-04T15:17:07.968128,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:09.009083,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:10.115533,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:11.140415,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:12.219911,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:13.301593,attack,668.9,200,2069,12.61,25.02,6.99,32.36,18.68,17.53,0.23,0.04,True
2026-02-04T15:17:14.997321,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:16.094904,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:17.204248,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:18.256293,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:19.341031,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:20.387287,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:21.437437,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:22.489469,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:23.599035,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:24.663459,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:25.699754,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:26.735675,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:27.805645,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:28.863849,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:29.920298,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:31.013937,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:32.247466,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:33.317174,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:34.376186,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:35.463927,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:36.530896,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:37.627661,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:38.700709,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:39.745443,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:40.806724,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:41.880384,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:42.927655,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:44.005308,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:45.093897,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:46.140052,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:47.221128,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:48.293445,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:49.405798,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:50.486833,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:51.605519,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:52.752961,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:53.799321,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:54.864342,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:55.966828,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:57.013572,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:58.054752,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:17:59.133087,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:00.183769,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:01.226901,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:02.261168,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:03.320996,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:04.405007,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:05.526101,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:06.635164,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:07.762554,attack,0,-1,0,0,0,0,0,0,0,0,0,False
2026-02-04T15:18:08.865015,recovery,846.6,200,2179,7.78,113.94,4.73,193.6,11.65,39.84,0.03,0.16,True
2026-02-04T15:18:10.724893,recovery,70.23,200,2020,15.9,113.94,10.57,192.53,21.28,40.29,0.04,0.17,True
2026-02-04T15:18:11.806005,recovery,360.12,200,1904,18.69,113.94,13.56,192.53,21.86,40.29,0.04,0.18,True
2026-02-04T15:18:13.180279,recovery,102.95,200,1721,20.04,114.4,14.5,184.17,21.18,39.84,0.05,0.2,True
2026-02-04T15:18:14.295761,recovery,114.73,200,1614,16.26,109.94,12.45,170.82,17.85,40.29,0.05,0.2,True
2026-02-04T15:18:15.420244,recovery,76.98,200,1434,18.77,109.94,14.28,170.2,25.29,40.29,0.06,0.22,True
2026-02-04T15:18:16.509347,recovery,92.34,200,1247,19.99,109.94,15.44,170.2,21.77,40.29,0.07,0.26,True
2026-02-04T15:18:17.613003,recovery,76.67,200,1039,20.24,109.94,15.05,167.16,25.47,40.29,0.08,0.31,True
2026-02-04T15:18:18.698053,recovery,75.37,200,846,20.64,109.94,14.47,165.04,25.52,40.29,0.1,0.37,True
2026-02-04T15:18:19.783076,recovery,84.98,200,664,20.77,109.94,13.74,151.74,26.61,40.29,0.12,0.45,True
2026-02-04T15:18:20.878704,recovery,135.97,200,546,19.37,109.77,13.31,148.48,22.32,40.29,0.14,0.55,True
2026-02-04T15:18:22.018186,recovery,82.76,200,382,18.34,109.77,11.84,137.69,26.0,40.29,0.2,0.75,True
2026-02-04T15:18:23.109232,recovery,36.7,200,172,18.58,109.77,10.8,120.92,24.42,40.29,0.41,1.58,True
2026-02-04T15:18:24.152602,recovery,29.73,200,7,20.29,109.77,14.29,119.89,28.63,40.29,9.04,38.56,True
2026-02-04T15:18:25.183286,recovery,22.67,200,3,20.4,109.77,16.78,119.89,24.87,40.29,20.68,89.98,True
2026-02-04T15:18:26.208271,recovery,34.81,200,3,21.13,109.77,16.58,119.89,22.34,40.29,20.02,89.98,True
2026-02-04T15:18:27.248304,recovery,19.53,200,3,21.47,109.77,18.08,119.89,22.75,40.29,20.76,89.98,True
2026-02-04T15:18:28.268884,recovery,19.48,200,3,21.85,109.77,17.4,119.89,22.15,40.29,20.47,89.98,True
